adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,https://www.sec.gov/dera/data/financial-statement-data-sets.html 
0001193125-20-215940,1209709,CERES TACTICAL SYSTEMATIC L.P.,6221,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,(855) 672-4468,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,US,NY,134224248,TACTICAL DIVERSIFIED FUTURES FUND L.P.,20091014,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,51:00.0,0,1,tdff-20200630.xml,1,,
0001193125-20-215944,1066656,MANAGED FUTURES PREMIER GRAHAM L.P.,6221,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,855-672-4468,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,US,DE,134018068,MANAGED FUTURES CHARTER GRAHAM L.P.,20100930,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,56:00.0,0,1,mscg-20200630.xml,1,,
0001193125-20-215948,873799,MORGAN STANLEY SMITH BARNEY SPECTRUM SELECT LP,6221,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,"522 FIFTH AVENUE, 14TH FLOOR",855-672-4468,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,"522 FIFTH AVENUE, 14TH FLOOR",US,DE,133619290,MORGAN STANLEY SPECTRUM SELECT LP,20011101,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,01:00.0,0,1,dwsf-20200630.xml,1,,
0001193125-20-215954,1043565,POTOMAC FUTURES FUND LP,6221,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,855-672-4468,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,522 FIFTH AVENUE,US,NY,133937275,SMITH BARNEY POTOMAC FUTURES FUND LP,19970806,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,06:00.0,0,1,poto-20200630.xml,1,,
0001193125-20-215960,1097396,CERES TACTICAL GLOBAL L.P.,6221,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,"522 FIFTH AVENUE, 14TH FLOOR",855-672-4468,US,NY,NEW YORK,10036,C/O CERES MANAGED FUTURES LLC,"522 FIFTH AVENUE, 14TH FLOOR",US,DE,0,CERES TACTICAL CURRENCY L.P.,20161118,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,12:00.0,0,1,ck0001097396-20200630.xml,1,,
0001193125-20-216121,750574,"AUBURN NATIONAL BANCORPORATION, INC",6022,US,AL,AUBURN,36831-3110,100 N GAY ST,P O DRAWER 3110,3348219200,US,AL,AUBURN,36831,100 NORTH GAY STREET,P O DRAWER 3110,US,DE,630885779,AUBURN NATIONAL BANCORPORATION INC,19950124,2-ACC,0,1231,8-K,20200731,,,20200811,46:00.0,0,0,d67621d8k_htm.xml,1,,
0001193125-20-216261,1092796,"SMITH & WESSON BRANDS, INC.",3480,US,MA,SPRINGFIELD,1104,2100 ROOSEVELT AVENUE,,844-363-5386,US,MA,SPRINGFIELD,1104,2100 ROOSEVELT AVENUE,,US,NV,870543688,AMERICAN OUTDOOR BRANDS CORP,20170118,1-LAF,0,430,8-K,20200731,,,20200811,06:00.0,0,0,d926233d8k_htm.xml,1,,
0001193125-20-216263,944148,"CBIZ, INC.",7389,US,OH,CLEVELAND,44131,"6050 OAK TREE BOULEVARD, SOUTH",SUITE 500,2164479000,US,OH,CLEVELAND,44131,"6050 OAK TREE BOULEVARD, SOUTH",SUITE 500,US,DE,222769024,CENTURY BUSINESS SERVICES INC,19980218,1-LAF,0,1231,8-K,20200731,,,20200811,06:00.0,0,0,d16578d8k_htm.xml,1,,
0001193125-20-216264,1099160,BEASLEY BROADCAST GROUP INC,4832,US,FL,NAPLES,34103,3033 RIVIERA DRIVE,SUITE 200,9412635000,US,FL,NAPLES,34103,3033 RIVIERA DRIVE,SUITE 200,US,DE,650960915,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,06:00.0,0,1,bbgi-20200630.xml,1,,
0001193125-20-216268,1561627,EXONE CO,3555,US,PA,NORTH HUNTINGDON,15642,127 INDUSTRY BOULEVARD,,724-863-9663,US,PA,NORTH HUNTINGDON,15642,127 INDUSTRY BOULEVARD,,US,DE,261480640,EX ONE CO,20130104,2-ACC,0,1231,8-K,20200731,,,20200811,06:00.0,0,0,d917687d8k_htm.xml,1,,
0001193125-20-216270,880631,"WISDOMTREE INVESTMENTS, INC.",6211,US,NY,NEW YORK,10167,245 PARK AVENUE,35TH FLOOR,212-801-2080,US,NY,NEW YORK,10167,245 PARK AVENUE,35TH FLOOR,US,DE,133487784,INDEX DEVELOPMENT PARTNERS INC,20020812,1-LAF,0,1231,10-Q/A,20200630,2020,Q2,20200811,07:00.0,0,0,d917819d10qa_htm.xml,1,,
0001193125-20-216273,895665,SUPERCONDUCTOR TECHNOLOGIES INC,3663,US,TX,AUSTIN,78738,15511 W. STATE HWY 71,SUITE 110-105,512-650-7775,US,TX,AUSTIN,78738,15511 W. STATE HWY 71,SUITE 110-105,US,DE,770158076,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200811,08:00.0,0,1,scon-20200627.xml,1,,
0001193125-20-216296,203596,WESBANCO INC,6021,US,WV,WHEELING,26003,1 BANK PLAZA,,3042349000,US,WV,WHEELING,26003,ONE BANK PLZ,,US,WV,550571723,,,1-LAF,0,1231,8-K,20200731,,,20200811,11:00.0,0,0,d76551d8k_htm.xml,1,,
0001193125-20-216304,87347,SCHLUMBERGER LIMITED/NV,1389,US,TX,HOUSTON,77056,5599 SAN FELIPE,17TH FLOOR,7135132000,US,TX,HOUSTON,77056,5599 SAN FELIPE,17TH FLOOR,AN,,520684746,SCHLUMBERGER LTD /NV/,19951031,1-LAF,0,1231,8-K,20200731,,,20200811,15:00.0,0,0,d926535d8k_htm.xml,1,,
0001193125-20-216305,1664703,BLOOM ENERGY CORP,3620,US,CA,SAN JOSE,95134,4353 NORTH FIRST STREET,,408-543-1500,US,CA,SAN JOSE,95134,4353 NORTH FIRST STREET,,US,DE,770565408,,,2-ACC,0,,8-K,20200731,,,20200811,16:00.0,0,0,d74238d8k_htm.xml,1,,
0001193125-20-216307,918646,EAGLE MATERIALS INC,3241,US,TX,DALLAS,75225,5960 BERKSHIRE LANE,SUITE 900,214-432-2000,US,TX,DALLAS,75225,5960 BERKSHIRE LANE,SUITE 900,US,DE,752520779,CENTEX CONSTRUCTION PRODUCTS INC,19940204,1-LAF,0,331,8-K,20200731,,,20200811,16:00.0,0,0,d21693d8k_htm.xml,1,,
0001193125-20-216316,1358071,CONCHO RESOURCES INC,1311,US,TX,MIDLAND,79701,600 W. ILLINOIS AVENUE,,432-683-7443,US,TX,MIDLAND,79701,600 W. ILLINOIS AVENUE,,US,DE,760818600,,,1-LAF,0,1231,8-K,20200731,,,20200811,19:00.0,0,0,d917759d8k_htm.xml,1,,
0001193125-20-216340,1333986,"EQUITABLE HOLDINGS, INC.",6411,US,NY,NEW YORK,10104,1290 AVENUE OF THE AMERICAS,,(212) 554-1234,US,NY,NEW YORK,10104,1290 AVENUE OF THE AMERICAS,,US,DE,585512450,"AXA EQUITABLE HOLDINGS, INC.",20171107,1-LAF,0,1231,8-K,20200731,,,20200811,26:00.0,0,0,d64111d8k_htm.xml,1,,
0001193125-20-216380,1373715,"SERVICENOW, INC.",7372,US,CA,SANTA CLARA,95054,2225 LAWSON LANE,,408-501-8550,US,CA,SANTA CLARA,95054,2225 LAWSON LANE,,,,202056195,SERVICE-NOW.COM,20060823,1-LAF,0,1231,8-K,20200731,,,20200811,32:00.0,0,0,d18413d8k_htm.xml,1,,
0001193125-20-216388,1001115,GEOSPACE TECHNOLOGIES CORP,3829,US,TX,HOUSTON,77040,7007 PINEMONT DR.,,7139864444,US,TX,HOUSTON,77040,7007 PINEMONT DR.,,US,TX,760447780,OYO GEOSPACE CORP,19950919,2-ACC,0,930,8-K,20200731,,,20200811,35:00.0,0,0,d949199d8k_htm.xml,1,,
0001193125-20-216389,1581164,"EXTENDED STAY AMERICA, INC.",7011,US,NC,CHARLOTTE,28277,"11525 N. COMMUNITY HOUSE ROAD, SUITE 100",,(980) 345-1600,US,NC,CHARLOTTE,28277,"11525 N. COMMUNITY HOUSE ROAD, SUITE 100",,US,DE,463140312,ESH HOSPITALITY LLC,20101210,1-LAF,0,1231,8-K/A,20200731,,,20200811,35:00.0,0,0,d22783d8ka_htm.xml,2,1507563,
0001193125-20-216397,1390777,BANK OF NEW YORK MELLON CORP,6022,US,NY,NEW YORK,10286,240 GREENWICH STREET,,212-495-1784,US,NY,NEW YORK,10286,240 GREENWICH STREET,,US,DE,132614959,BANK OF NEW YORK MELLON CORP,20070221,1-LAF,0,1231,8-K,20200731,,,20200811,39:00.0,1,0,d59871d8k_htm.xml,1,,
0001193125-20-216402,1138639,INFINERA CORP,3661,US,CA,SUNNYVALE,94089,140 CASPIAN COURT,,408-572-5200,US,CA,SUNNYVALE,94089,140 CASPIAN COURT,,US,DE,770560433,INFINERA CORP,20030528,2-ACC,0,1231,8-K,20200731,,,20200811,41:00.0,0,0,d921953d8k_htm.xml,1,,
0001193125-20-216413,1369568,"CATALYST PHARMACEUTICALS, INC.",2834,US,FL,CORAL GABLES,33134,355 ALHAMBRA CIRCLE,SUITE 1250,(305) 529-2522,US,FL,CORAL GABLES,33134,355 ALHAMBRA CIRCLE,SUITE 1250,US,DE,0,"CATALYST PHARMACEUTICAL PARTNERS, INC.",20110215,2-ACC,0,1231,8-K,20200731,,,20200811,46:00.0,0,0,d84304d8k_htm.xml,1,,
0001193125-20-216422,24090,"CITIZENS, INC.",6311,US,TX,AUSTIN,78728,14231 TANDEM BLVD,2ND FLOOR,5128377100,US,TX,AUSTIN,78714,P O BOX 149151,,US,CO,840755371,CITIZENS INC,19920703,2-ACC,0,1231,8-K,20200731,,,20200811,48:00.0,0,0,d917696d8k_htm.xml,1,,
0001193125-20-216431,1577916,"PREMIER, INC.",8741,US,NC,CHARLOTTE,28277,13034 BALLANTYNE CORPORATE PLACE,,704-357-0022,US,NC,CHARLOTTE,28277,13034 BALLANTYNE CORPORATE PLACE,,,,0,,,1-LAF,0,630,8-K,20200731,,,20200811,51:00.0,0,0,d59221d8k_htm.xml,1,,
0001193125-20-216466,70145,NATIONAL FUEL GAS CO,4924,US,NY,WILLIAMSVILLE,14221-5887,6363 MAIN STREET,,716-857-7000,US,NY,WILLIAMSVILLE,14221-5887,6363 MAIN STREET,6363 MAIN STREET,US,NJ,131086010,,,1-LAF,0,930,8-K,20200731,,,20200811,11:00.0,0,0,d31269d8k_htm.xml,1,,
0001193125-20-216502,1362988,AIRCASTLE LTD,7359,US,CT,STAMFORD,6901,C/O AIRCASTLE ADVISOR LLC,"201 TRESSER BLVD, SUITE 400",(203) 504-1020,US,CT,STAMFORD,6901,C/O AIRCASTLE ADVISOR LLC,"201 TRESSER BLVD, SUITE 400",BM,,980444035,,,4-NON,0,1231,8-K,20200731,,,20200811,25:00.0,0,0,d78578d8k_htm.xml,1,,
0001193125-20-216755,1792044,UPJOHN INC,2834,US,NY,NEW YORK,10017,235 EAST 42ND STREET,,(212) 733-2323,US,NY,NEW YORK,10017,235 EAST 42ND STREET,,US,DE,834364296,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,40:00.0,0,1,d48787d10q_htm.xml,1,,
0001193125-20-216923,1682852,"MODERNA, INC.",2836,US,MA,CAMBRIDGE,2139,200 TECHNOLOGY SQUARE,,6177146500,US,MA,CAMBRIDGE,2139,200 TECHNOLOGY SQUARE,,US,DE,813467528,"MODERNA THERAPEUTICS, INC.",20160822,1-LAF,0,1231,8-K,20200731,,,20200812,07:00.0,0,0,d45471d8k_htm.xml,1,,
0001193125-20-216958,1337553,AERIE PHARMACEUTICALS INC,2836,US,NC,DURHAM,27703,4301 EMPEROR BOULEVARD,SUITE 400,(919) 237-5300,US,NC,DURHAM,27703,4301 EMPEROR BOULEVARD,SUITE 400,US,DE,203109565,,,1-LAF,0,1231,8-K,20200731,,,20200812,31:00.0,0,0,d944025d8k_htm.xml,1,,
0001193125-20-216973,1378624,"CELLULAR BIOMEDICINE GROUP, INC.",2836,US,MD,GAITHERSBURG,20877,209 PERRY PARKWAY,SUITE 13,(301) 825 5320,US,MD,GAITHERSBURG,20877,209 PERRY PARKWAY,SUITE 13,US,DE,861032927,EASTBRIDGE INVESTMENT GROUP CORP,20061019,2-ACC,0,1231,8-K,20200731,,,20200812,55:00.0,0,0,d40650d8k_htm.xml,1,,
0001193125-20-216989,1276520,GENWORTH FINANCIAL INC,6311,US,VA,RICHMOND,23230,6620 WEST BROAD STREET,,804-281-6000,US,VA,RICHMOND,23230,6620 WEST BROAD STREET,,US,DE,800873306,,,1-LAF,0,1231,8-K,20200731,,,20200812,04:00.0,0,0,d98262d8k_htm.xml,1,,
0001193125-20-216996,1616707,WAYFAIR INC.,5961,US,MA,BOSTON,2116,4 COPLEY PLACE,,617 532 6100,US,MA,BOSTON,2116,4 COPLEY PLACE,,,,364791999,,,1-LAF,0,1231,8-K,20200731,,,20200812,12:00.0,0,0,d64413d8k_htm.xml,1,,
0001193125-20-217044,1000228,HENRY SCHEIN INC,5047,US,NY,MELVILLE,11747,135 DURYEA RD,,6318435500,US,NY,MELVILLE,11747,135 DURYEA RD,,US,DE,113136595,SCHEIN HENRY INC,19950907,1-LAF,0,1231,8-K,20200731,,,20200812,01:00.0,0,0,d907569d8k_htm.xml,1,,
0001193125-20-217079,1111711,NISOURCE INC.,4931,US,IN,MERRILLVILLE,46410-6272,801 EAST 86TH AVE,,2196475200,US,IN,MERRILLVILLE,46410-6272,801 EAST 86TH AVE,,US,DE,352108964,NISOURCE INC/DE,20001103,1-LAF,0,1231,8-K,20200731,,,20200812,36:00.0,0,0,d56295d8k_htm.xml,1,,
0001193125-20-217086,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K,20200731,,,20200812,40:00.0,1,0,d36669d8k_htm.xml,1,,
0001193125-20-217104,64803,CVS HEALTH CORP,5912,US,RI,WOONSOCKET,2895,ONE CVS DR.,,4017651500,US,RI,WOONSOCKET,2895,ONE CVS DR.,,US,DE,50494040,CVS CAREMARK CORP,20070509,1-LAF,0,1231,8-K,20200731,,,20200812,47:00.0,0,0,d87775d8k_htm.xml,1,,
0001193125-20-217120,1042418,"INHIBITOR THERAPEUTICS, INC.",8731,US,FL,TAMPA,33609,4830 W. KENNEDY BLVD.,SUITE 600,(813) 766-2462,US,FL,TAMPA,33609,4830 W. KENNEDY BLVD.,SUITE 600,US,DE,541641133,"HEDGEPATH PHARMACEUTICALS, INC.",20130816,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,02:00.0,0,1,inti-20200630.xml,1,,
0001193125-20-217131,1093557,DEXCOM INC,3841,US,CA,SAN DIEGO,92121,6340 SEQUENCE DRIVE,,8582000200,US,CA,SAN DIEGO,92121,6340 SEQUENCE DRIVE,,US,DE,330857544,,,1-LAF,0,1231,8-K,20200731,,,20200812,14:00.0,0,0,d917767d8k_htm.xml,1,,
0001193125-20-217142,77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,6798,US,PA,PHILADELPHIA,19103,ONE COMMERCE SQUARE,"2005 MARKET STREET, SUITE 1000",2158750426,US,PA,PHILADELPHIA,19103,ONE COMMERCE SQUARE,"2005 MARKET STREET, SUITE 1000",US,PA,236216339,,,2-ACC,0,1231,8-K,20200731,,,20200812,25:00.0,1,0,d95673d8k_htm.xml,1,,
0001193125-20-217147,1720580,"RESTORBIO, INC.",2834,US,MA,BOSTON,2116,500 BOYLSTON STREET,12TH FLOOR,617-482-2333,US,MA,BOSTON,2116,500 BOYLSTON STREET,12TH FLOOR,US,DE,813305277,,,2-ACC,0,1231,S-4/A,20200630,,,20200812,31:00.0,0,1,d923175ds4a_htm.xml,1,,
0001193125-20-217414,1275101,BANK OF THE JAMES FINANCIAL GROUP INC,6022,US,VA,LYNCHBURG,24505,P O BOX 1200,,4348462000,,,,,,,US,VA,200500300,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,14:00.0,0,1,botj-20200630.xml,1,,
0001193125-20-217440,7332,SOUTHWESTERN ENERGY CO,1311,US,TX,SPRING,77389,10000 ENERGY DRIVE,,832-796-4700,US,TX,SPRING,77389,10000 ENERGY DRIVE,,US,DE,710205415,ARKANSAS WESTERN GAS CO,19790917,1-LAF,0,1231,8-K/A,20200731,,,20200812,53:00.0,0,0,d75389d8ka_htm.xml,1,,
0001193125-20-217636,912595,MID AMERICA APARTMENT COMMUNITIES INC.,6798,US,TN,GERMANTOWN,38138,6815 POPLAR AVENUE,SUITE 500,9016826600,US,TN,GERMANTOWN,38138,6815 POPLAR AVENUE,SUITE 500,US,TN,621543819,MID AMERICA APARTMENT COMMUNITIES INC,19930927,1-LAF,0,1231,8-K,20200731,,,20200812,02:00.0,0,0,d22080d8k_htm.xml,2,1581776,
0001193125-20-217638,1176334,MARTIN MIDSTREAM PARTNERS L.P.,5171,US,TX,KILGORE,75662,4200 STONE ROAD,,9039836252,US,TX,KILGORE,75663,PO BOX 191,,US,DE,50527861,MARTIN MIDSTREAM PARTNERS LP,20020626,2-ACC,0,1231,8-K,20200731,,,20200812,02:00.0,0,0,d918399d8k_htm.xml,1,,
0001193125-20-217640,1793659,"DMY TECHNOLOGY GROUP, INC.",6770,US,NV,LAS VEGAS,89144,"1180 NORTH TOWN CENTER DRIVE, SUITE 100",,(203) 583-5322,US,NV,LAS VEGAS,89144,"1180 NORTH TOWN CENTER DRIVE, SUITE 100",,US,DE,0,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,02:00.0,0,1,dmyt-20200630.xml,1,,
0001193125-20-217645,1797336,"AYALA PHARMACEUTICALS, INC.",2836,US,DE,WILMINGTON,19801,1313 N. MARKET STREET,SUITE 5100,(857) 444-0553,US,DE,WILMINGTON,19801,1313 N. MARKET STREET,SUITE 5100,US,DE,823578375,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,06:00.0,0,1,ayla-20200630.xml,1,,
0001193125-20-217649,1314102,"EYEPOINT PHARMACEUTICALS, INC.",3826,US,MA,WATERTOWN,2472,480 PLEASANT STREET,SUITE B300,617-926-5000,US,MA,WATERTOWN,2472,480 PLEASANT STREET,SUITE B300,US,DE,262774444,PSIVIDA CORP.,20080619,2-ACC,0,1231,8-K,20200731,,,20200812,06:00.0,0,0,d90800d8k_htm.xml,1,,
0001193125-20-217651,876437,MGIC INVESTMENT CORP,6351,US,WI,MILWAUKEE,53202,250 EAST KILBOURN AVENUE,,4143476480,US,WI,MILWAUKEE,53202,250 EAST KILBOURN AVENUE,,US,WI,391486475,,,1-LAF,0,1231,8-K,20200731,,,20200812,07:00.0,0,0,d24428d8k_htm.xml,1,,
0001193125-20-217654,1094831,"BGC PARTNERS, INC.",6200,US,NY,NEW YORK,10022,499 PARK AVENUE,,212-610-2200,US,NY,NEW YORK,10022,499 PARK AVENUE,,US,DE,134063515,ESPEED INC,19990913,1-LAF,0,1231,8-K,20200731,,,20200812,09:00.0,0,0,d58379d8k_htm.xml,1,,
0001193125-20-217657,1042776,"PIEDMONT OFFICE REALTY TRUST, INC.",6512,US,GA,ATLANTA,30342,5565 GLENRIDGE CONNECTOR,STE 450,7704188800,US,GA,ATLANTA,30342,5565 GLENRIDGE CONNECTOR,STE 450,US,MD,582328421,WELLS REAL ESTATE INVESTMENT TRUST INC,19980515,1-LAF,0,1231,8-K,20200731,,,20200812,10:00.0,0,0,d62656d8k_htm.xml,1,,
0001193125-20-217658,858877,"CISCO SYSTEMS, INC.",3576,US,CA,SAN JOSE,95134-1706,170 WEST TASMAN DR,,4085264000,US,CA,SAN JOSE,95134-1706,170 WEST TASMAN DR,,US,CA,770059951,CISCO SYSTEMS INC,19920703,1-LAF,0,731,8-K,20200731,,,20200812,10:00.0,0,0,d50157d8k_htm.xml,1,,
0001193125-20-217666,814453,NEWELL BRANDS INC.,3089,GE,,ATLANTA,30328,6655 PEACHTREE DUNWOODY ROAD,,800-424-1941,GE,,ATLANTA,30328,6655 PEACHTREE DUNWOODY ROAD,,US,DE,363514169,"NEWELL BRANDS, INC.",20191017,1-LAF,0,1231,8-K,20200731,,,20200812,16:00.0,0,0,d934862d8k_htm.xml,1,,
0001193125-20-217668,1787791,"JUNIPER INDUSTRIAL HOLDINGS, INC.",6770,US,NJ,CHATHAM,7928,14 FAIRMOUNT AVENUE,,9735070359,US,NJ,CHATHAM,7928,14 FAIRMOUNT AVENUE,,US,DE,0,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200812,17:00.0,0,1,jih-20200630.xml,1,,
0001193125-20-217676,18926,"CENTURYLINK, INC",4813,US,LA,MONROE,71203,P O BOX 4065,100 CENTURYLINK DR,3183889000,US,LA,MONROE,71203,100 CENTURYLINK DR,P O BOX 4065,US,LA,720651161,CENTURYTEL INC,19990602,1-LAF,0,1231,8-K,20200731,,,20200812,26:00.0,0,0,d58325d8k_htm.xml,2,794323,
0001193125-20-217707,798949,UNIT CORP,1311,US,OK,TULSA,74132,8200 SOUTH UNIT DRIVE,,9184937700,US,OK,TULSA,74132,8200 SOUTH UNIT DRIVE,,US,DE,731283193,,,2-ACC,0,1231,8-K,20200731,,,20200812,36:00.0,0,0,d69025d8k_htm.xml,1,,
0001193125-20-217742,923796,GEO GROUP INC,6798,US,FL,BOCA RATON,33431,4955 TECHNOLOGY WAY,,561-893-0101,US,FL,BOCA RATON,33431,4955 TECHNOLOGY WAY,,US,FL,650043078,WACKENHUT CORRECTIONS CORP,19940525,1-LAF,0,1231,8-K,20200731,,,20200812,49:00.0,0,0,d917751d8k_htm.xml,1,,
0001193125-20-217756,858877,"CISCO SYSTEMS, INC.",3576,US,CA,SAN JOSE,95134-1706,170 WEST TASMAN DR,,4085264000,US,CA,SAN JOSE,95134-1706,170 WEST TASMAN DR,,US,CA,770059951,CISCO SYSTEMS INC,19920703,1-LAF,0,731,8-K,20200731,,,20200812,57:00.0,0,0,d939735d8k_htm.xml,1,,
0001193125-20-217759,40730,MOTORS LIQUIDATION CO,3711,US,MI,DETROIT,48265-3000,500 RENAISSANCE CTR,SUITE 1400,313 556-5000,US,MI,DETROIT,48265-3000,500 RENAISSANCE CTR,SUITE 1400,US,DE,380572515,GENERAL MOTORS CORP,19930816,4-NON,0,331,10-Q,20200630,2021,Q1,20200812,00:00.0,0,1,mtlqq-20200630.xml,1,,
0001193125-20-217761,1319161,WARNER MUSIC GROUP CORP.,7900,US,NY,NEW YORK,10019,1633 BROADWAY,,212-275-2000,US,NY,NEW YORK,10019,1633 BROADWAY,,US,DE,134271875,WMG PARENT CORP.,20050228,4-NON,0,930,8-K,20200731,,,20200812,01:00.0,0,0,d921906d8k_htm.xml,1,,
0001193125-20-217763,1581280,TWIST BIOSCIENCE CORP,2836,US,CA,SOUTH SAN FRANCISCO,94080,681 GATEWAY BLVD.,,800-719-0671,US,CA,SOUTH SAN FRANCISCO,94080,681 GATEWAY BLVD.,,US,DE,462058888,,,4-NON,0,930,10-Q,20200630,2020,Q3,20200812,03:00.0,0,1,twst-20200630.xml,1,,
0001193125-20-217791,1323404,WHEATON PRECIOUS METALS CORP.,1040,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,604 684 3123,CA,BC,VANCOUVER,V6E 0C3,SUITE 3500,1021 WEST HASTINGS STREEET,CA,ON,980459455,SILVER WHEATON CORP.,20050411,,0,1231,6-K,20200630,2020,Q2,20200812,19:00.0,0,1,wpm-20200630.xml,1,,
0001193125-20-217794,73088,NORTHWESTERN CORP,4931,US,SD,SIOUX FALLS,57108,3010 W 69TH STREET,,6059782908,US,SD,SIOUX FALLS,57108,3010 W 69TH STREET,,US,DE,460172280,NORTHWESTERN PUBLIC SERVICE CO,19920703,1-LAF,0,1231,8-K,20200731,,,20200812,19:00.0,0,0,d12317d8k_htm.xml,1,,
0001193125-20-217810,1111711,NISOURCE INC.,4931,US,IN,MERRILLVILLE,46410-6272,801 EAST 86TH AVE,,2196475200,US,IN,MERRILLVILLE,46410-6272,801 EAST 86TH AVE,,US,DE,352108964,NISOURCE INC/DE,20001103,1-LAF,0,1231,8-K,20200731,,,20200813,32:00.0,0,0,d27824d8k_htm.xml,1,,
0001193125-20-217851,1584549,"VILLAGE FARMS INTERNATIONAL, INC.",100,CA,,"DELTA, BRITISH COLUMBIA",V4K 3N3,4700 - 80TH STREET,,732-676-3008,CA,,"DELTA, BRITISH COLUMBIA",V4K 3N3,4700 - 80TH STREET,,CA,,0,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200813,43:00.0,0,1,vff-20200630.xml,1,,
0001193125-20-218015,93410,CHEVRON CORP,2911,US,CA,SAN RAMON,94583,6001 BOLLINGER CANYON ROAD,,925-842-1000,US,CA,SAN RAMON,94583,6001 BOLLINGER CANYON ROAD,,US,DE,940890210,CHEVRONTEXACO CORP,20011009,1-LAF,0,1231,8-K,20200731,,,20200813,47:00.0,0,0,d91339d8k_htm.xml,1,,
0001193125-20-218245,1795139,GREEN THUMB INDUSTRIES INC.,100,US,IL,CHICAGO,60654,325 WEST HURON STREET,SUITE 412,312-471-6720,US,IL,CHICAGO,60654,325 WEST HURON STREET,SUITE 412,,,981437430,,,4-NON,0,1231,10-Q,20200630,2020,Q2,20200813,11:00.0,0,1,gtbif-20200630.xml,1,,
0001193125-20-218328,22444,COMMERCIAL METALS CO,3312,US,TX,IRVING,75039,"6565 N. MACARTHUR BLVD., SUITE 800",P O BOX 1046,2146894300,US,TX,IRVING,75039,"6565 N. MACARTHUR BLVD., SUITE 800",PO BOX 1046,US,DE,750725338,COMMERCIAL METALS CO,19920703,1-LAF,0,831,8-K,20200731,,,20200813,52:00.0,0,0,d917568d8k_htm.xml,1,,
0001193125-20-218349,723612,"AVIS BUDGET GROUP, INC.",7510,US,NJ,PARSIPPANY,7054,6 SYLVAN WAY,,973-496-4700,US,NJ,PARSIPPANY,7054,6 SYLVAN WAY,,US,DE,60918165,CENDANT CORP,19971218,1-LAF,0,1231,8-K,20200731,,,20200813,14:00.0,0,0,d84038d8k_htm.xml,1,,
0001193125-20-218831,882835,ROPER TECHNOLOGIES INC,3823,US,FL,SARASOTA,34240,6901 PROFESSIONAL PKWY EAST,SUITE 200,9415562601,US,FL,SARASOTA,34240,6901 PROFESSIONAL PKWY EAST,SUITE 200,US,DE,510263969,ROPER INDUSTRIES INC,20080527,1-LAF,0,1231,8-K,20200731,,,20200813,57:00.0,0,0,d82103d8k_htm.xml,1,,
0001193125-20-218917,1034594,BAY BANKS OF VIRGINIA INC,6022,US,VA,RICHMOND,23226,1801 BAYBERRY COURT,HILLCREST BUILDING,804-404-9668,US,VA,RICHMOND,23226,P. O. BOX 17310,,US,VA,541838100,,,2-ACC,0,1231,8-K,20200731,,,20200813,34:00.0,0,0,d70042d8k_htm.xml,1,,
