adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0001408100-19-000146,1408100,"KENNEDY-WILSON HOLDINGS, INC.",6500,US,CA,BEVERLY HILLS,90210,"9701 WILSHIRE BLVD., SUITE 700",,310-887-6400,US,CA,BEVERLY HILLS,90210,"9701 WILSHIRE BLVD., SUITE 700",,US,DE,260508760,PROSPECT ACQUISITION CORP,20070727,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191031,20:00.0,0,1,kw2019093010qq3_htm.xml,1,
0001408100-19-000152,1408100,"KENNEDY-WILSON HOLDINGS, INC.",6500,US,CA,BEVERLY HILLS,90210,"9701 WILSHIRE BLVD., SUITE 700",,310-887-6400,US,CA,BEVERLY HILLS,90210,"9701 WILSHIRE BLVD., SUITE 700",,US,DE,260508760,PROSPECT ACQUISITION CORP,20070727,1-LAF,0,1231,8-K,20191031,2019,FY,20191107,16:00.0,0,0,kw-preferredclosing8xk_htm.xml,1,
0001408278-19-000050,1408278,"SYNACOR, INC.",7370,US,NY,BUFFALO,14202,40 LARIVIERE DRIVE,SUITE 300,716-853-1362,US,NY,BUFFALO,14202,40 LARIVIERE DRIVE,SUITE 300,US,DE,161542712,,,2-ACC,0,1231,10-Q,20190930,2019,Q3,20191107,31:00.0,0,1,sync-20190930_htm.xml,1,
0001408534-19-000054,1408534,"FIRST GUARANTY BANCSHARES, INC.",6035,US,LA,HAMMOND,70401,400 EAST THOMAS STREET,,985-345-7685,US,LA,HAMMOND,70401,400 EAST THOMAS STREET,,US,LA,260513559,,,2-ACC,0,1231,10-Q,20190930,2019,Q3,20191112,04:00.0,0,1,fgbi-20190930.xml,1,
0001409171-19-000070,1409171,TITAN MACHINERY INC.,5990,US,ND,WEST FARGO,58078,644 EAST BEATON DRIVE,,(701) 356-0130,US,ND,WEST FARGO,58078,644 EAST BEATON DRIVE,,US,DE,450357838,,,2-ACC,0,131,10-Q,20191031,2020,Q3,20191205,23:00.0,0,1,titn-20191031.xml,1,
0001409775-19-000059,1409775,"BBVA USA BANCSHARES, INC.",6021,US,TX,HOUSTON,77056,2200 POST OAK BLVD,,205-297-3000,US,TX,HOUSTON,77056,2200 POST OAK BLVD,,,,208948381,"BBVA COMPASS BANCSHARES, INC",20130806,4-NON,0,1231,10-Q,20190930,2019,Q3,20191105,41:00.0,0,1,bbva-20190930.xml,1,
0001409970-19-001359,1409970,LENDINGCLUB CORP,7389,US,CA,SAN FRANCISCO,94105,595 MARKET STREET,SUITE 200,415-632-5600,US,CA,SAN FRANCISCO,94105,595 MARKET STREET,SUITE 200,US,DE,0,,,1-LAF,0,1231,8-K,20191031,2019,FY,20191105,15:00.0,0,0,form8-kasfiledon11519e_htm.xml,1,
0001409970-19-001368,1409970,LENDINGCLUB CORP,7389,US,CA,SAN FRANCISCO,94105,595 MARKET STREET,SUITE 200,415-632-5600,US,CA,SAN FRANCISCO,94105,595 MARKET STREET,SUITE 200,US,DE,0,,,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191106,09:00.0,0,1,q31910q_htm.xml,1,
0001410384-19-000120,1410384,"Q2 HOLDINGS, INC.",7372,US,TX,AUSTIN,78750,13785 RESEARCH BOULEVARD,SUITE 150,512-275-0072,US,TX,Austin,78750,13785 RESEARCH BOULEVARD,SUITE 150,,,202706637,"CBG HOLDINGS, INC.",20120103,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,09:00.0,1,0,a8-kfor10119_htm.xml,1,
0001410384-19-000126,1410384,"Q2 HOLDINGS, INC.",7372,US,TX,AUSTIN,78750,13785 RESEARCH BOULEVARD,SUITE 150,512-275-0072,US,TX,Austin,78750,13785 RESEARCH BOULEVARD,SUITE 150,,,202706637,"CBG HOLDINGS, INC.",20120103,1-LAF,0,1231,8-K,20191031,2019,FY,20191101,05:00.0,1,0,a8-kfor11119_htm.xml,1,
0001410384-19-000135,1410384,"Q2 HOLDINGS, INC.",7372,US,TX,AUSTIN,78750,13785 RESEARCH BOULEVARD,SUITE 150,512-275-0072,US,TX,Austin,78750,13785 RESEARCH BOULEVARD,SUITE 150,,,202706637,"CBG HOLDINGS, INC.",20120103,1-LAF,0,1231,8-K,20191031,2019,FY,20191106,38:00.0,1,0,a8-k19q3_htm.xml,1,
0001410384-19-000138,1410384,"Q2 HOLDINGS, INC.",7372,US,TX,AUSTIN,78750,13785 RESEARCH BOULEVARD,SUITE 150,512-275-0072,US,TX,Austin,78750,13785 RESEARCH BOULEVARD,SUITE 150,,,202706637,"CBG HOLDINGS, INC.",20120103,1-LAF,0,1231,10-Q,20190930,2019,Q3,20191107,50:00.0,0,1,q3201910q_htm.xml,1,
0001410384-19-000149,1410384,"Q2 HOLDINGS, INC.",7372,US,TX,AUSTIN,78750,13785 RESEARCH BOULEVARD,SUITE 150,512-275-0072,US,TX,Austin,78750,13785 RESEARCH BOULEVARD,SUITE 150,,,202706637,"CBG HOLDINGS, INC.",20120103,1-LAF,0,1231,8-K,20191231,2019,FY,20191220,29:00.0,1,0,a8-kfor121919_htm.xml,1,
0001410578-19-001480,1621227,ADAPTIMMUNE THERAPEUTICS PLC,2836,GB,,"ABINGDON, OXFORDSHIRE",OX14 4RX,60 JUBILEE AVENUE,MILTON PARK,44 1235 430000,GB,,"ABINGDON, OXFORDSHIRE",OX14 4RX,60 JUBILEE AVENUE,MILTON PARK,GB,,0,ADAPTIMMUNE LTD,20141001,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,14:00.0,0,0,tv530212_8k_htm.xml,1,
0001410578-19-001482,1163302,UNITED STATES STEEL CORP,3312,US,PA,PITTSBURGH,15219-2800,600 GRANT ST,ROOM 1500,415 433 2967,US,,PITTSBURGH,15219-2800,600 GRANT STREET,,US,DE,251897152,UNITED STATES STEEL LLC,20011205,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,22:00.0,0,0,tv530332_8k_htm.xml,1,
0001410578-19-001485,314203,MCEWEN MINING INC.,1040,CA,ON,TORONTO,M5H 1J9,SUITE 2800,"150 KING STREET WEST, P.O. BOX 24",647-258-0395,CA,ON,TORONTO,M5H 1J9,SUITE 2800,"150 KING STREET WEST, P.O. BOX 24",US,CO,840796160,U S GOLD CORP,19920703,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,17:00.0,0,0,tv530327_8k_htm.xml,1,
0001410578-19-001487,883569,"FOSSIL GROUP, INC.",3873,US,TX,RICHARDSON,75080,901 S CENTRAL EXPRESSWAY,,9722342525,US,TX,RICHARDSON,75080,901 S CENTRAL EXPRESSWAY,,US,DE,752018505,FOSSIL INC,19940218,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,14:00.0,0,0,tv530380_8k_htm.xml,1,
0001410578-19-001489,1130464,BLACK HILLS CORP /SD/,4911,US,SD,RAPID CITY,57709,7001 MT RUSHMORE RD,PO BOX 1400,6057212343,US,SD,RAPID,57709,7001 MT RUSHMORE RD,PO BOX 1400,US,SD,460458824,BLACK HILLS HOLDING CORP,20001222,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,31:00.0,0,0,tv530180_8k_htm.xml,1,
0001410578-19-001490,1265131,HILLTOP HOLDINGS INC.,6022,US,TX,DALLAS,75219,2323 VICTORY AVENUE,SUITE 1400,214.855.2177,US,TX,DALLAS,75219,2323 VICTORY AVENUE,SUITE 1400,US,MD,841477939,AFFORDABLE RESIDENTIAL COMMUNITIES INC,20030929,1-LAF,0,1231,8-K,20190930,2019,Q3,20191001,02:00.0,0,0,tv530415_8k_htm.xml,1,
0001410578-19-001492,831641,TETRA TECH INC,8711,US,CA,PASADENA,91107,3475 EAST FOOTHILL BOULEVARD,,6263514664,US,CA,PASADENA,91107,3475 EAST FOOTHILL BOULEVARD,,US,DE,954148514,,,1-LAF,0,930,8-K,20190930,2019,FY,20191002,21:00.0,0,0,tv530387_8k_htm.xml,1,
0001410578-19-001500,1178879,"AMICUS THERAPEUTICS, INC.",2834,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,(609) 662-2000,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,US,DE,200422823,AMICUS THERAPEUTICS INC,20020729,1-LAF,0,1231,8-K,20190930,2019,Q3,20191002,57:00.0,0,0,tv530493_8k_htm.xml,1,
0001410578-19-001502,1353283,SPLUNK INC,7372,US,CA,SAN FRANCISCO,94107,270 BRANNAN STREET,,415-848-8400,US,CA,SAN FRANCISCO,94107,270 BRANNAN STREET,,,,861106510,,,1-LAF,0,131,8-K,20190930,2019,Q3,20191002,16:00.0,1,0,tv530497_8k_htm.xml,1,
0001410578-19-001515,33213,EQT CORP,1311,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,4125535700,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,US,PA,250464690,EQT CORP /PA/,20090206,1-LAF,0,1231,8-K,20190930,2019,Q3,20191002,31:00.0,0,0,tv530458_8k_htm.xml,1,
0001410578-19-001516,887596,CHEESECAKE FACTORY INC,5812,US,CA,CALABASAS HILLS,91301,26901 MALIBU HILLS RD,,818-871-3000,US,CA,CALABASAS HILLS,91301,26901 MALIBU HILLS RD,,US,DE,510340466,CHEESECAKE FACTORY INCORPORATED,19930328,1-LAF,0,1231,8-K,20190930,2019,Q3,20191002,47:00.0,1,0,tv530483_8k_htm.xml,1,
0001410578-19-001517,1050441,EAGLE BANCORP INC,6022,US,MD,BETHESDA,20814,7830 OLD GEORGETOWN ROAD,3RD FLOOR,240-497-2075,US,MD,BETHESDA,20814,7830 OLD GEORGETOWN ROAD,3RD FLOOR,US,MD,522061461,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191002,07:00.0,0,0,tv530523_8k_htm.xml,1,
0001410578-19-001518,1592000,"ENLINK MIDSTREAM, LLC",4922,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,(214) 953-9500,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,US,DE,0,"NEW PUBLIC RANGERS, L.L.C.",20131114,1-LAF,0,1231,8-K,20190930,2019,Q3,20191002,19:00.0,0,0,tv530274_8k_htm.xml,1,
0001410578-19-001524,1689813,BIOHAVEN PHARMACEUTICAL HOLDING CO LTD.,2834,US,CT,NEW HAVEN,6510,215 CHURCH STREET,,203-404-0410,US,CT,NEW HAVEN,6510,215 CHURCH STREET,,VG,,0,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191003,07:00.0,0,0,tv530593_8k_htm.xml,1,
0001410578-19-001525,1232582,ASHFORD HOSPITALITY TRUST INC,6798,US,TX,DALLAS,75254,14185 DALLAS PARKWAY SUITE 1100,,9724909600,US,TX,DALLAS,75254,14185 DALLAS PARKWAY SUITE 1100,,US,MD,861062192,,,2-ACC,0,1231,8-K,20190930,2019,Q3,20191003,37:00.0,0,0,tv530487_8k_htm.xml,1,
0001410578-19-001526,315189,DEERE & CO,3523,US,IL,MOLINE,61265-8098,ONE JOHN DEERE PLACE,,(309) 765-8000,US,IL,MOLINE,61265-8098,ONE JOHN DEERE PLACE,,US,DE,362382580,,,1-LAF,0,1031,8-K,20190930,2019,FY,20191003,01:00.0,0,0,tv530367_8k_htm.xml,1,
0001410578-19-001529,1368622,AEROVIRONMENT INC,3721,US,CA,SIMI VALLEY,93065,900 INNOVATORS WAY,,805 520 8350,US,CA,SIMI VALLEY,93065,900 INNOVATORS WAY,,US,DE,952705790,,,1-LAF,0,430,8-K,20190930,2020,Q2,20191003,25:00.0,1,0,tv530435_8k_htm.xml,1,
0001410578-19-001533,1130464,BLACK HILLS CORP /SD/,4911,US,SD,RAPID CITY,57709,7001 MT RUSHMORE RD,PO BOX 1400,6057212343,US,SD,RAPID,57709,7001 MT RUSHMORE RD,PO BOX 1400,US,SD,460458824,BLACK HILLS HOLDING CORP,20001222,1-LAF,0,1231,8-K,20190930,2019,Q3,20191004,44:00.0,0,0,tv530573_8k_htm.xml,1,
0001410578-19-001538,1287213,"DOUGLAS DYNAMICS, INC",3531,US,WI,MILWAUKEE,53233,7777 NORTH 73RD ST,,414-362-3940,US,WI,MILWAUKEE,53233,7777 NORTH 73RD ST,,US,DE,134275891,DOUGLAS DYNAMICS HOLDINGS INC,20040415,2-ACC,0,1231,8-K,20190930,2019,Q3,20191004,09:00.0,0,0,tv530076_8k_htm.xml,1,
0001410578-19-001539,8858,AVNET INC,5065,US,AZ,PHOENIX,85034,2211 SOUTH 47TH STREET,,4806432000,US,AZ,PHOENIX,85034,2211 SOUTH 47TH STREET,,US,NY,111890605,,,1-LAF,0,630,8-K,20190930,2020,Q1,20191004,29:00.0,0,0,tv530646_8k_htm.xml,1,
0001410578-19-001544,897723,SANMINA CORP,3672,US,CA,SAN JOSE,95134,2700 N FIRST ST,,4089643500,US,CA,SAN JOSE,95134,2700 N FIRST ST,,US,DE,770228183,SANMINA-SCI CORP,20020211,1-LAF,0,930,8-K,20190930,2019,FY,20191004,06:00.0,0,0,tv530667_8k_htm.xml,1,
0001410578-19-001545,861884,RELIANCE STEEL & ALUMINUM CO,5051,US,CA,LOS ANGELES,90071,350 S GRAND AVE STE 5100,,213-687-7700,US,CA,LOS ANGELES,90071,350 S GRAND AVE STE 5100,,US,DE,951142616,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191004,12:00.0,0,0,tv530685_8k_htm.xml,1,
0001410578-19-001546,1289419,"MORNINGSTAR, INC.",6282,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,(312) 696-6000,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,US,IL,363297908,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191004,17:00.0,0,0,tv530681_8k_htm.xml,1,
0001410578-19-001548,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",4841,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,203-905-7800,US,CT,STAMFORD,6901,400 ATLANTIC STREET,,,,841496755,CHARTER COMMUNICATIONS INC /MO/,19990723,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,36:00.0,0,0,tv530689_8k_htm.xml,3,1271834 1271833
0001410578-19-001553,1603923,WEATHERFORD INTERNATIONAL PLC,3533,IE,,DUBLIN,2,70 SIR JOHN ROGERSON'S QUAY,,41.22.816.1500,CH,,BAAR,6340,WESTSTRASSE 1,,,,980606750,WEATHERFORD INTERNATIONAL LTD,20140328,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,10:00.0,0,0,tv530723_8k_htm.xml,1,
0001410578-19-001554,827871,"EAGLE PHARMACEUTICALS, INC.",2834,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,201-326-5300,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,US,DE,0,EAGLE PHARMACEUTICALS INC,19880120,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,31:00.0,1,0,tv530720_8k_htm.xml,1,
0001410578-19-001555,1602065,VIPER ENERGY PARTNERS LP,1311,US,TX,MIDLAND,79701,500 WEST TEXAS AVENUE,SUITE 1200,432-221-7400,US,TX,MIDLAND,79701,500 WEST TEXAS AVENUE,SUITE 1200,US,DE,465001985,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,02:00.0,1,0,tv530722_8k_htm.xml,1,
0001410578-19-001557,811156,CMS ENERGY CORP,4931,US,MI,JACKSON,49201,ONE ENERGY PLAZA,,5177880550,US,MI,JACKSON,49201,ONE ENERGY PLAZA,,US,MI,382726431,CONSUMERS POWER CO,19920703,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,37:00.0,0,0,tv530581_8k_htm.xml,2,201533
0001410578-19-001559,33213,EQT CORP,1311,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,4125535700,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,US,PA,250464690,EQT CORP /PA/,20090206,1-LAF,0,1231,8-K,20190930,2019,Q3,20191007,31:00.0,0,0,tv530751_8k_htm.xml,1,
0001410578-19-001563,1433270,ANTERO RESOURCES CORP,1311,US,CO,DENVER,80202,1615 WYNKOOP STREET,,303-357-7325,US,CO,DENVER,80202,1615 WYNKOOP STREET,,,,800162034,ANTERO RESOURCES APPALACHIAN CORP,20100209,1-LAF,0,1231,8-K,20190930,2019,Q3,20191008,59:00.0,0,0,tv530630_8k_htm.xml,1,
0001410578-19-001565,1289419,"MORNINGSTAR, INC.",6282,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,(312) 696-6000,US,IL,CHICAGO,60602,22 WEST WASHINGTON STREET,,US,IL,363297908,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191008,27:00.0,0,0,tv530753_8k_htm.xml,1,
0001410578-19-001570,1040829,"RYMAN HOSPITALITY PROPERTIES, INC.",6798,US,TN,NASHVILLE,37214,ONE GAYLORD DR,,6153166000,US,TN,NASHVILLE,37214,ONE GAYLORD DRIVE,,US,DE,730664379,GAYLORD ENTERTAINMENT CO /DE,19971002,1-LAF,0,1231,8-K,20190930,2019,Q3,20191008,50:00.0,0,0,tv530763_8k_htm.xml,1,
0001410578-19-001574,1163302,UNITED STATES STEEL CORP,3312,US,PA,PITTSBURGH,15219-2800,600 GRANT ST,ROOM 1500,415 433 2967,US,,PITTSBURGH,15219-2800,600 GRANT STREET,,US,DE,251897152,UNITED STATES STEEL LLC,20011205,1-LAF,0,1231,8-K,20190930,2019,Q3,20191008,28:00.0,0,0,tv530803_8k_htm.xml,1,
0001410578-19-001575,1600438,GMS INC.,5030,US,GA,TUCKER,30084,100 CRESCENT CENTRE PARKWAY,SUITE 800,800-392-4619,US,GA,TUCKER,30084,100 CRESCENT CENTRE PARKWAY,SUITE 800,US,DE,0,GYP HOLDINGS I CORP.,20140218,4-NON,0,430,8-K,20190930,2020,Q2,20191008,29:00.0,0,0,tv530805_8k_htm.xml,1,
0001410578-19-001586,1592386,"VIRTU FINANCIAL, INC.",6211,US,NY,NEW YORK,10006,ONE LIBERTY PLAZA,165 BROADWAY,212-418-0100,US,NY,NEW YORK,10006,ONE LIBERTY PLAZA,165 BROADWAY,US,DE,320420206,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,26:00.0,0,0,tv530858_8k_htm.xml,1,
0001410578-19-001588,891103,IAC/INTERACTIVECORP,5990,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,2123147300,US,NY,NEW YORK,10011,555 WEST 18TH STREET,,US,DE,592712887,INTERACTIVECORP,20030623,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,34:00.0,0,0,tv530815_8k_htm.xml,1,
0001410578-19-001589,27419,TARGET CORP,5331,US,MN,MINNEAPOLIS,55403,1000 NICOLLET MALL,,6123046073,US,MN,MINNEAPOLIS,55403,1000 NICOLLET MALL,,US,MN,410215170,DAYTON HUDSON CORP,19920703,1-LAF,0,131,8-K,20190930,2019,Q3,20191009,39:00.0,0,0,tv530845_8k_htm.xml,1,
0001410578-19-001590,77476,PEPSICO INC,2080,US,NY,PURCHASE,10577,700 ANDERSON HILL RD,,9142532000,US,NY,PURCHASE,10577-1444,700 ANDERSON HILL ROAD,,US,NC,131584302,PEPSI COLA CO,19700903,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,48:00.0,0,0,tv530785_8k_htm.xml,1,
0001410578-19-001592,1298675,CUBESMART,6798,US,PA,MALVERN,19355,5 OLD LANCASTER ROAD,,610-535-5700,US,PA,MALVERN,19355,5 OLD LANCASTER ROAD,,US,MD,201024732,U-STORE-IT TRUST,20040727,1-LAF,0,1231,8-K,20190930,2019,Q3,20191009,12:00.0,0,0,tv530812_8k_htm.xml,2,1300485
0001410578-19-001594,1035201,CALIFORNIA WATER SERVICE GROUP,4941,US,CA,SAN JOSE,95112,1720 N FIRST ST,C/O CALIFORNIA WATER SERVICE CO,4083678200,US,CA,SAN JOSE,95112,1720 FIRST ST,C/O CALIFORNIA WATER SERVICE CO,US,DE,770448994,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,23:00.0,0,0,tv530897_8k_htm.xml,1,
0001410578-19-001601,1052100,WADDELL & REED FINANCIAL INC,6211,US,KS,OVERLAND PARK,66202-4200,6300 LAMAR AVE,,9132362000,US,KS,SHAWNEE MISSION,66201-9217,PO BOX 29217,,US,DE,510261715,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,01:00.0,0,0,tv530837_8k_htm.xml,1,
0001410578-19-001602,1178879,"AMICUS THERAPEUTICS, INC.",2834,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,(609) 662-2000,US,NJ,CRANBURY,8512,1 CEDAR BROOK DRIVE,,US,DE,200422823,AMICUS THERAPEUTICS INC,20020729,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,31:00.0,0,0,tv530906_8k_htm.xml,1,
0001410578-19-001607,879585,"ATN INTERNATIONAL, INC.",4813,US,MA,BEVERLY,1915,500 CUMMINGS CENTER,,9786191300,US,MA,BEVERLY,1915,500 CUMMINGS CENTER,,US,DE,470728886,ATLANTIC TELE NETWORK INC /DE,19930328,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,01:00.0,0,0,tv530921_8k_htm.xml,1,
0001410578-19-001610,887905,LTC PROPERTIES INC,6798,US,CA,WESTLAKE VILLAGE,91361,2829 TOWNSGATE ROAD,SUITE 350,805-981-8655,US,CA,WESTLAKE VILLAGE,91361,2829 TOWNSGATE ROAD,SUITE 350,US,MD,710720518,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,31:00.0,0,0,tv530794_8k_htm.xml,1,
0001410578-19-001611,1747009,EQUITRANS MIDSTREAM CORP,4922,US,PA,CANONSBURG,15317,2200 ENERGY DRIVE,,724-271-7600,US,PA,CANONSBURG,15317,2200 ENERGY DRIVE,,US,PA,830516635,"EQT MIDSTREAM SPINCO, INC.",20180717,4-NON,0,1231,8-K,20190930,2019,Q3,20191010,32:00.0,0,0,tv530747_8k_htm.xml,1,
0001410578-19-001612,1540947,"EQM MIDSTREAM PARTNERS, LP",4922,US,PA,CANONSBURG,15317,2200 ENERGY DRIVE,,724-271-7600,US,PA,CANONSBURG,15317,2200 ENERGY DRIVE,,US,DE,371661577,"EQT MIDSTREAM PARTNERS, LP",20120131,1-LAF,0,1231,8-K,20190930,2019,Q3,20191010,32:00.0,0,0,tv530478_8k_htm.xml,1,
0001410578-19-001621,33213,EQT CORP,1311,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,4125535700,US,PA,PITTSBURGH,15222,625 LIBERTY AVENUE,SUITE 1700,US,PA,250464690,EQT CORP /PA/,20090206,1-LAF,0,1231,8-K,20190930,2019,Q3,20191011,31:00.0,0,0,tv530891_8k_htm.xml,1,
0001410578-19-001625,1417398,"HILLENBRAND, INC.",3990,US,IN,BATESVILLE,47006,ONE BATESVILLE BOULEVARD,,(812)931-5403,US,IN,BATESVILLE,47006,ONE BATESVILLE BOULEVARD,,US,IN,261342272,"BATESVILLE HOLDINGS, INC.",20071102,1-LAF,0,930,8-K,20190930,2019,FY,20191011,23:00.0,0,0,tv530832_8k_htm.xml,1,
0001410578-19-001626,827871,"EAGLE PHARMACEUTICALS, INC.",2834,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,201-326-5300,US,NJ,WOODCLIFF LAKE,7677,"50 TICE BOULEVARD, SUITE 315",,US,DE,0,EAGLE PHARMACEUTICALS INC,19880120,1-LAF,0,1231,8-K/A,20190831,2019,Q3,20191011,46:00.0,0,0,tv530933_8ka_htm.xml,1,
0001410578-19-001633,1278027,"B&G FOODS, INC.",2000,US,NJ,PARSIPPANY,7054,FOUR GATEHALL DRIVE,SUITE 110,9734016500,US,NJ,PARSIPPANY,7054,FOUR GATEHALL DRIVE,SUITE 110,US,DE,133918742,B&G FOODS HOLDINGS CORP,20040129,1-LAF,0,1231,8-K,20190930,2019,Q3,20191011,06:00.0,0,0,tv530910_8k_htm.xml,1,
0001410578-19-001635,1593936,"MICHAELS COMPANIES, INC.",5945,US,TX,IRVING,75063,8000 BENT BRANCH DRIVE,,9724091300,US,TX,IRVING,75063,8000 BENT BRANCH DRIVE,,US,DE,371737959,,,1-LAF,0,131,8-K,20190930,2019,Q3,20191011,14:00.0,0,0,tv530984_8k_htm.xml,1,
0001410578-19-001637,66740,3M CO,3841,US,MN,ST PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,6517331474,US,MN,ST. PAUL,55144-1000,3M CENTER,BLDG. 220-13E-26A,US,DE,410417775,MINNESOTA MINING & MANUFACTURING CO,19920703,1-LAF,0,1231,8-K,20190930,2019,Q3,20191011,34:00.0,0,0,tv530886_8k_htm.xml,1,
0001410578-19-001638,1750,AAR CORP,3720,US,IL,WOOD DALE,60191,1100 N WOOD DALE RD,,6302272000,US,IL,WOOD DALE,60191,1100 N WOOD DALE RD,,US,DE,362334820,ALLEN AIRCRAFT RADIO INC,19700204,1-LAF,0,531,8-K,20190930,2020,Q2,20191011,41:00.0,0,0,tv530971_8k_htm.xml,1,
0001410578-19-001639,1298675,CUBESMART,6798,US,PA,MALVERN,19355,5 OLD LANCASTER ROAD,,610-535-5700,US,PA,MALVERN,19355,5 OLD LANCASTER ROAD,,US,MD,201024732,U-STORE-IT TRUST,20040727,1-LAF,0,1231,8-K,20190930,2019,Q3,20191011,01:00.0,0,0,tv530814_8k_htm.xml,2,1300485
0001410578-19-001642,1592000,"ENLINK MIDSTREAM, LLC",4922,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,(214) 953-9500,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,US,DE,0,"NEW PUBLIC RANGERS, L.L.C.",20131114,1-LAF,0,1231,8-K,20190930,2019,Q3,20191015,04:00.0,0,0,tv530985_8k_htm.xml,1,
0001410578-19-001643,1179060,"ENLINK MIDSTREAM PARTNERS, LP",4922,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,214-953-9500,US,TX,DALLAS,75201,"1722 ROUTH STREET, SUITE 1300",,US,DE,161616605,CROSSTEX ENERGY LP,20020731,1-LAF,0,1231,8-K,20190930,2019,Q3,20191015,04:00.0,0,0,tv530986_8k_htm.xml,1,
0001410578-19-001645,1800,ABBOTT LABORATORIES,2834,US,IL,ABBOTT PARK,60064-3500,100 ABBOTT PARK ROAD,,2246676100,US,IL,ABBOTT PARK,60064-3500,100 ABBOTT PARK ROAD,,US,IL,360698440,,,1-LAF,0,1231,8-K,20190930,2019,Q3,20191015,54:00.0,0,0,tv530928_8k_htm.xml,1,
0001410578-19-001651,897723,SANMINA CORP,3672,US,CA,SAN JOSE,95134,2700 N FIRST ST,,4089643500,US,CA,SAN JOSE,95134,2700 N FIRST ST,,US,DE,770228183,SANMINA-SCI CORP,20020211,1-LAF,0,930,8-K,20190930,2019,FY,20191015,19:00.0,0,0,tv531015_8-k_htm.xml,1,
0001410578-19-001652,1573097,"HD SUPPLY HOLDINGS, INC.",5000,US,GA,ATLANTA,30339,3400 CUMBERLAND BOULEVARD,,770-852-9000,US,GA,ATLANTA,30339,3400 CUMBERLAND BOULEVARD,,US,DE,260486780,"HD SUPPLY HOLDING, INC.",20130408,1-LAF,0,131,8-K,20190930,2019,Q3,20191016,55:00.0,0,0,tv531007_8k_htm.xml,2,1465264
